Data,Regiao,Tipo de Problema,Severidade,Resolvido,Acidentes Estimados,Investimento Estimado (R$ Milhoes),Mes
2024-01-09,Aguas Claras,Falta de iluminacao,Media,False,3,300,2024-01
2024-01-09,Asa Sul,Problemas de drenagem,Media,False,3,102,2024-01
2024-01-10,Asa Norte,Calcadas esburacadas,Alta,True,10,31,2024-01
2024-01-10,Asa Norte,Buracos nas vias,Media,True,5,56,2024-01
2024-01-10,Asa Sul,Falta de acessibilidade,Media,True,4,82,2024-01
2024-01-10,Asa Norte,Falta de acessibilidade,Media,False,3,83,2024-01
2024-01-10,Jardim Botanico,Calcadas esburacadas,Media,False,5,43,2024-01
2024-01-10,Aguas Claras,Falta de iluminacao,Media,True,4,297,2024-01
2024-01-10,Sao Sebastiao,Problemas de drenagem,Baixa,True,2,91,2024-01
2024-01-10,Sao Sebastiao,Buracos nas vias,Alta,False,8,44,2024-01
2024-01-10,Vicente Pires,Falta de sinalizacao,Media,False,4,61,2024-01
2024-01-11,Sao Sebastiao,Buracos nas vias,Baixa,False,2,50,2024-01
2024-01-11,Sao Sebastiao,Calcadas esburacadas,Baixa,False,2,33,2024-01
2024-01-11,Sol Nascente,Problemas de drenagem,Baixa,False,2,107,2024-01
2024-01-11,Asa Sul,Calcadas esburacadas,Alta,False,9,48,2024-01
2024-01-11,Sao Sebastiao,Acumulo de lixo em pracas,Baixa,True,2,36,2024-01
2024-01-12,Vicente Pires,Calcadas esburacadas,Alta,False,10,42,2024-01
2024-01-12,Sol Nascente,Calcadas esburacadas,Media,False,3,34,2024-01
2024-01-12,Aguas Claras,Calcadas esburacadas,Media,True,4,41,2024-01
2024-01-12,Aguas Claras,Calcadas esburacadas,Alta,True,9,32,2024-01
2024-01-12,Vicente Pires,Buracos nas vias,Baixa,True,2,46,2024-01
2024-01-12,Asa Norte,Buracos nas vias,Media,True,4,43,2024-01
2024-01-12,Aguas Claras,Buracos nas vias,Baixa,True,2,58,2024-01
2024-01-12,Sao Sebastiao,Buracos nas vias,Media,False,5,45,2024-01
2024-01-12,Aguas Claras,Buracos nas vias,Media,True,3,40,2024-01
2024-01-12,Asa Norte,Falta de iluminacao,Alta,True,10,301,2024-01
2024-01-12,Vicente Pires,Calcadas esburacadas,Baixa,False,1,32,2024-01
2024-01-12,Aguas Claras,Buracos nas vias,Baixa,True,0,43,2024-01
2024-01-12,Asa Norte,Falta de iluminacao,Media,False,5,309,2024-01
2024-01-13,Asa Norte,Calcadas esburacadas,Alta,False,9,36,2024-01
2024-01-13,Sao Sebastiao,Falta de iluminacao,Alta,False,11,308,2024-01
2024-01-13,Sao Sebastiao,Calcadas esburacadas,Baixa,True,1,46,2024-01
2024-01-13,Asa Sul,Buracos nas vias,Baixa,True,2,51,2024-01
2024-01-13,Jardim Botanico,Falta de iluminacao,Baixa,False,0,308,2024-01
2024-01-13,Asa Sul,Falta de acessibilidade,Alta,False,9,83,2024-01
2024-01-13,Sao Sebastiao,Buracos nas vias,Alta,True,6,54,2024-01
2024-01-13,Asa Sul,Buracos nas vias,Media,True,3,49,2024-01
2024-01-13,Asa Sul,Buracos nas vias,Baixa,False,2,59,2024-01
2024-01-14,Asa Norte,Calcadas esburacadas,Baixa,False,1,33,2024-01
2024-01-14,Asa Norte,Buracos nas vias,Media,True,5,55,2024-01
2024-01-14,Asa Sul,Buracos nas vias,Media,False,4,45,2024-01
2024-01-14,Sao Sebastiao,Buracos nas vias,Media,False,2,43,2024-01
2024-01-14,Vicente Pires,Buracos nas vias,Media,False,5,41,2024-01
2024-01-14,Jardim Botanico,Problemas de drenagem,Media,True,5,96,2024-01
2024-01-15,Asa Norte,Falta de sinalizacao,Media,False,3,59,2024-01
2024-01-15,Sao Sebastiao,Falta de iluminacao,Baixa,True,1,306,2024-01
2024-01-15,Vicente Pires,Buracos nas vias,Baixa,False,0,41,2024-01
2024-01-15,Vicente Pires,Problemas de drenagem,Media,False,2,96,2024-01
2024-01-15,Vicente Pires,Falta de iluminacao,Media,False,4,295,2024-01
2024-01-15,Vicente Pires,Falta de acessibilidade,Media,False,5,79,2024-01
2024-01-16,Jardim Botanico,Buracos nas vias,Media,True,3,47,2024-01
2024-01-16,Asa Sul,Falta de iluminacao,Alta,False,11,304,2024-01
2024-01-16,Sao Sebastiao,Calcadas esburacadas,Media,False,3,48,2024-01
2024-01-16,Sol Nascente,Falta de acessibilidade,Media,True,3,89,2024-01
2024-01-16,Sao Sebastiao,Calcadas esburacadas,Baixa,True,0,42,2024-01
2024-01-17,Asa Norte,Buracos nas vias,Baixa,False,0,53,2024-01
2024-01-17,Asa Sul,Falta de sinalizacao,Alta,False,9,50,2024-01
2024-01-17,Jardim Botanico,Calcadas esburacadas,Alta,False,6,49,2024-01
2024-01-17,Aguas Claras,Falta de acessibilidade,Media,False,4,71,2024-01
2024-01-17,Aguas Claras,Buracos nas vias,Media,True,3,43,2024-01
2024-01-17,Asa Sul,Calcadas esburacadas,Media,False,3,45,2024-01
2024-01-17,Sao Sebastiao,Calcadas esburacadas,Media,False,5,43,2024-01
2024-01-17,Sol Nascente,Buracos nas vias,Baixa,False,0,48,2024-01
2024-01-17,Sol Nascente,Buracos nas vias,Media,False,2,58,2024-01
2024-01-17,Jardim Botanico,Buracos nas vias,Media,True,4,59,2024-01
2024-01-17,Vicente Pires,Buracos nas vias,Alta,False,9,43,2024-01
2024-01-17,Aguas Claras,Buracos nas vias,Baixa,True,2,49,2024-01
2024-01-18,Sao Sebastiao,Falta de iluminacao,Media,True,2,302,2024-01
2024-01-18,Vicente Pires,Buracos nas vias,Baixa,True,2,42,2024-01
2024-01-18,Aguas Claras,Falta de acessibilidade,Alta,False,7,72,2024-01
2024-01-19,Sao Sebastiao,Calcadas esburacadas,Alta,True,10,44,2024-01
2024-01-19,Vicente Pires,Falta de sinalizacao,Baixa,False,0,57,2024-01
2024-01-19,Asa Sul,Problemas de drenagem,Media,True,5,106,2024-01
2024-01-19,Asa Norte,Calcadas esburacadas,Media,False,3,31,2024-01
2024-01-19,Asa Sul,Falta de sinalizacao,Baixa,False,0,62,2024-01
2024-01-19,Sao Sebastiao,Acumulo de lixo em pracas,Baixa,True,0,33,2024-01
2024-01-19,Jardim Botanico,Falta de acessibilidade,Media,False,4,77,2024-01
2024-01-19,Asa Norte,Problemas de drenagem,Media,True,5,102,2024-01
2024-01-19,Vicente Pires,Calcadas esburacadas,Baixa,False,0,37,2024-01
2024-01-19,Vicente Pires,Calcadas esburacadas,Media,False,2,33,2024-01
2024-01-19,Aguas Claras,Buracos nas vias,Media,False,2,59,2024-01
2024-01-20,Aguas Claras,Calcadas esburacadas,Alta,True,5,42,2024-01
2024-01-20,Sao Sebastiao,Buracos nas vias,Alta,False,11,56,2024-01
2024-01-20,Vicente Pires,Buracos nas vias,Media,False,5,41,2024-01
2024-01-20,Asa Sul,Falta de sinalizacao,Alta,False,11,57,2024-01
2024-01-20,Sol Nascente,Buracos nas vias,Media,True,4,47,2024-01
2024-01-20,Vicente Pires,Problemas de drenagem,Baixa,False,2,96,2024-01
2024-01-20,Asa Sul,Acumulo de lixo em pracas,Alta,True,6,30,2024-01
2024-01-20,Aguas Claras,Falta de iluminacao,Media,False,2,305,2024-01
2024-01-21,Asa Sul,Falta de acessibilidade,Media,True,3,88,2024-01
2024-01-21,Jardim Botanico,Calcadas esburacadas,Media,True,2,35,2024-01
2024-01-21,Vicente Pires,Buracos nas vias,Alta,True,10,53,2024-01
2024-01-21,Asa Norte,Buracos nas vias,Media,True,3,40,2024-01
2024-01-21,Asa Norte,Calcadas esburacadas,Baixa,False,2,45,2024-01
2024-01-21,Asa Norte,Buracos nas vias,Media,False,5,44,2024-01
2024-01-21,Aguas Claras,Falta de iluminacao,Baixa,False,0,306,2024-01
2024-01-21,Vicente Pires,Buracos nas vias,Media,True,2,48,2024-01
2024-01-22,Aguas Claras,Calcadas esburacadas,Baixa,False,2,39,2024-01
2024-01-22,Asa Norte,Falta de acessibilidade,Baixa,False,0,83,2024-01
2024-01-22,Asa Norte,Buracos nas vias,Baixa,False,0,54,2024-01
2024-01-22,Vicente Pires,Falta de sinalizacao,Media,False,2,56,2024-01
2024-01-22,Asa Norte,Buracos nas vias,Alta,True,8,51,2024-01
2024-01-22,Asa Sul,Buracos nas vias,Media,False,2,56,2024-01
2024-01-22,Aguas Claras,Calcadas esburacadas,Alta,False,5,33,2024-01
2024-01-22,Jardim Botanico,Calcadas esburacadas,Alta,False,11,42,2024-01
2024-01-22,Vicente Pires,Falta de acessibilidade,Media,False,3,83,2024-01
2024-01-22,Vicente Pires,Problemas de drenagem,Media,False,3,101,2024-01
2024-01-22,Vicente Pires,Buracos nas vias,Media,True,3,44,2024-01
2024-01-23,Vicente Pires,Calcadas esburacadas,Media,False,4,45,2024-01
2024-01-23,Aguas Claras,Falta de iluminacao,Alta,True,8,305,2024-01
2024-01-23,Asa Sul,Buracos nas vias,Baixa,False,1,42,2024-01
2024-01-23,Asa Norte,Calcadas esburacadas,Alta,True,10,47,2024-01
2024-01-23,Sao Sebastiao,Calcadas esburacadas,Baixa,True,2,39,2024-01
2024-01-23,Vicente Pires,Problemas de drenagem,Media,True,5,95,2024-01
2024-01-23,Asa Sul,Problemas de drenagem,Baixa,False,1,98,2024-01
2024-01-23,Vicente Pires,Calcadas esburacadas,Alta,False,7,37,2024-01
2024-01-24,Vicente Pires,Buracos nas vias,Baixa,False,0,40,2024-01
2024-01-25,Sol Nascente,Problemas de drenagem,Baixa,False,2,100,2024-01
2024-01-25,Aguas Claras,Acumulo de lixo em pracas,Baixa,False,2,24,2024-01
2024-01-25,Sol Nascente,Buracos nas vias,Media,True,4,45,2024-01
2024-01-25,Sao Sebastiao,Calcadas esburacadas,Alta,True,10,34,2024-01
2024-01-25,Jardim Botanico,Buracos nas vias,Media,False,4,46,2024-01
2024-01-25,Asa Sul,Buracos nas vias,Media,False,5,44,2024-01
2024-01-25,Asa Sul,Buracos nas vias,Media,False,3,40,2024-01
2024-01-25,Jardim Botanico,Calcadas esburacadas,Media,True,3,44,2024-01
2024-01-25,Asa Norte,Calcadas esburacadas,Media,False,4,35,2024-01
2024-01-26,Sao Sebastiao,Buracos nas vias,Baixa,True,0,57,2024-01
2024-01-26,Asa Sul,Buracos nas vias,Baixa,False,0,56,2024-01
2024-01-26,Asa Norte,Calcadas esburacadas,Media,True,2,43,2024-01
2024-01-26,Asa Sul,Buracos nas vias,Baixa,False,2,59,2024-01
2024-01-26,Aguas Claras,Problemas de drenagem,Baixa,True,1,97,2024-01
2024-01-26,Sao Sebastiao,Falta de sinalizacao,Alta,True,8,65,2024-01
2024-01-27,Jardim Botanico,Falta de iluminacao,Media,False,5,308,2024-01
2024-01-27,Jardim Botanico,Problemas de drenagem,Alta,False,11,98,2024-01
2024-01-27,Sol Nascente,Falta de sinalizacao,Media,False,2,54,2024-01
2024-01-27,Sao Sebastiao,Calcadas esburacadas,Media,False,5,36,2024-01
2024-01-27,Sao Sebastiao,Buracos nas vias,Alta,False,11,59,2024-01
2024-01-28,Jardim Botanico,Falta de iluminacao,Alta,False,5,309,2024-01
2024-01-28,Aguas Claras,Acumulo de lixo em pracas,Baixa,False,1,36,2024-01
2024-01-28,Sol Nascente,Buracos nas vias,Media,False,3,41,2024-01
2024-01-28,Sao Sebastiao,Calcadas esburacadas,Alta,True,6,34,2024-01
2024-01-28,Asa Sul,Falta de iluminacao,Media,False,5,292,2024-01
2024-01-28,Sao Sebastiao,Falta de acessibilidade,Baixa,True,2,82,2024-01
2024-01-28,Sol Nascente,Buracos nas vias,Media,False,2,43,2024-01
2024-01-29,Sol Nascente,Falta de iluminacao,Media,True,3,300,2024-01
2024-01-29,Asa Sul,Calcadas esburacadas,Alta,False,8,43,2024-01
2024-01-29,Vicente Pires,Buracos nas vias,Media,True,5,51,2024-01
2024-01-29,Aguas Claras,Buracos nas vias,Baixa,False,1,49,2024-01
2024-01-29,Asa Sul,Falta de iluminacao,Baixa,False,1,294,2024-01
2024-01-29,Jardim Botanico,Acumulo de lixo em pracas,Baixa,False,1,30,2024-01
2024-01-29,Asa Norte,Falta de iluminacao,Media,False,2,294,2024-01
2024-01-29,Asa Norte,Problemas de drenagem,Baixa,False,1,107,2024-01
2024-01-29,Asa Norte,Falta de iluminacao,Alta,False,5,301,2024-01
2024-01-30,Asa Sul,Falta de sinalizacao,Media,False,4,50,2024-01
2024-01-30,Jardim Botanico,Falta de acessibilidade,Alta,False,10,84,2024-01
2024-01-30,Asa Sul,Buracos nas vias,Alta,False,9,43,2024-01
2024-01-31,Aguas Claras,Problemas de drenagem,Media,False,4,108,2024-01
2024-01-31,Sol Nascente,Falta de iluminacao,Baixa,True,1,303,2024-01
2024-01-31,Sao Sebastiao,Falta de iluminacao,Baixa,True,0,300,2024-01
2024-01-31,Asa Norte,Calcadas esburacadas,Media,True,4,39,2024-01
2024-02-01,Sao Sebastiao,Calcadas esburacadas,Media,True,2,48,2024-02
2024-02-01,Asa Norte,Calcadas esburacadas,Media,True,4,49,2024-02
2024-02-01,Aguas Claras,Buracos nas vias,Alta,True,10,46,2024-02
2024-02-02,Sol Nascente,Buracos nas vias,Media,True,4,47,2024-02
2024-02-02,Aguas Claras,Calcadas esburacadas,Alta,True,6,36,2024-02
2024-02-02,Asa Norte,Buracos nas vias,Alta,True,7,53,2024-02
2024-02-02,Vicente Pires,Buracos nas vias,Media,False,4,57,2024-02
2024-02-02,Asa Norte,Falta de sinalizacao,Baixa,False,2,56,2024-02
2024-02-03,Vicente Pires,Calcadas esburacadas,Baixa,True,0,41,2024-02
2024-02-03,Jardim Botanico,Calcadas esburacadas,Alta,True,11,33,2024-02
2024-02-03,Asa Sul,Calcadas esburacadas,Alta,False,10,31,2024-02
2024-02-04,Aguas Claras,Calcadas esburacadas,Alta,False,9,35,2024-02
2024-02-04,Vicente Pires,Buracos nas vias,Alta,False,11,48,2024-02
2024-02-04,Aguas Claras,Problemas de drenagem,Media,True,4,90,2024-02
2024-02-04,Asa Sul,Falta de iluminacao,Media,True,4,307,2024-02
2024-02-04,Asa Norte,Problemas de drenagem,Alta,False,11,99,2024-02
2024-02-04,Sol Nascente,Buracos nas vias,Alta,False,7,40,2024-02
2024-02-04,Asa Norte,Falta de iluminacao,Media,True,5,302,2024-02
2024-02-05,Sol Nascente,Calcadas esburacadas,Alta,False,11,31,2024-02
2024-02-05,Asa Norte,Calcadas esburacadas,Alta,False,10,36,2024-02
2024-02-05,Asa Sul,Problemas de drenagem,Media,False,5,102,2024-02
2024-02-05,Sao Sebastiao,Calcadas esburacadas,Media,True,4,45,2024-02
2024-02-05,Aguas Claras,Buracos nas vias,Alta,False,10,40,2024-02
2024-02-06,Aguas Claras,Falta de iluminacao,Media,True,2,308,2024-02
2024-02-06,Sao Sebastiao,Falta de iluminacao,Alta,True,6,296,2024-02
2024-02-06,Asa Sul,Falta de acessibilidade,Alta,False,6,81,2024-02
2024-02-06,Sol Nascente,Calcadas esburacadas,Baixa,False,1,34,2024-02
2024-02-06,Sol Nascente,Buracos nas vias,Alta,True,7,57,2024-02
2024-02-07,Asa Sul,Acumulo de lixo em pracas,Media,False,2,37,2024-02
2024-02-07,Aguas Claras,Calcadas esburacadas,Alta,True,9,38,2024-02
2024-02-07,Vicente Pires,Falta de iluminacao,Alta,False,10,290,2024-02
2024-02-07,Asa Norte,Acumulo de lixo em pracas,Baixa,True,1,37,2024-02
2024-02-07,Asa Norte,Problemas de drenagem,Baixa,True,2,91,2024-02
2024-02-08,Asa Sul,Calcadas esburacadas,Alta,False,11,45,2024-02
2024-02-08,Jardim Botanico,Buracos nas vias,Media,False,2,46,2024-02
2024-02-08,Asa Norte,Problemas de drenagem,Baixa,False,1,102,2024-02
2024-02-08,Sao Sebastiao,Problemas de drenagem,Alta,False,5,109,2024-02
2024-02-08,Jardim Botanico,Falta de acessibilidade,Baixa,True,2,75,2024-02
2024-02-08,Sol Nascente,Buracos nas vias,Alta,False,6,49,2024-02
2024-02-08,Asa Norte,Falta de sinalizacao,Media,True,4,52,2024-02
2024-02-08,Sol Nascente,Calcadas esburacadas,Alta,False,10,32,2024-02
2024-02-08,Asa Sul,Calcadas esburacadas,Media,False,2,32,2024-02
2024-02-08,Asa Sul,Problemas de drenagem,Baixa,False,0,107,2024-02
2024-02-08,Aguas Claras,Buracos nas vias,Media,False,4,44,2024-02
2024-02-08,Sao Sebastiao,Buracos nas vias,Baixa,False,2,55,2024-02
2024-02-08,Asa Sul,Buracos nas vias,Baixa,True,2,40,2024-02
2024-02-08,Asa Norte,Falta de sinalizacao,Baixa,False,0,59,2024-02
2024-02-08,Sao Sebastiao,Problemas de drenagem,Baixa,False,1,103,2024-02
2024-02-08,Sol Nascente,Buracos nas vias,Media,True,2,41,2024-02
2024-02-09,Vicente Pires,Buracos nas vias,Alta,True,5,41,2024-02
2024-02-09,Asa Sul,Buracos nas vias,Alta,True,11,55,2024-02
2024-02-09,Asa Norte,Falta de acessibilidade,Media,False,3,76,2024-02
2024-02-09,Asa Norte,Buracos nas vias,Media,False,4,52,2024-02
2024-02-09,Asa Sul,Falta de acessibilidade,Baixa,False,0,80,2024-02
2024-02-09,Sao Sebastiao,Buracos nas vias,Baixa,True,0,41,2024-02
2024-02-09,Vicente Pires,Buracos nas vias,Alta,True,10,49,2024-02
2024-02-09,Asa Norte,Buracos nas vias,Baixa,False,1,42,2024-02
2024-02-09,Asa Sul,Falta de sinalizacao,Baixa,False,2,51,2024-02
2024-02-10,Asa Sul,Buracos nas vias,Baixa,False,0,51,2024-02
2024-02-10,Asa Sul,Falta de sinalizacao,Media,False,3,67,2024-02
2024-02-10,Asa Norte,Buracos nas vias,Media,False,2,57,2024-02
2024-02-10,Asa Norte,Falta de acessibilidade,Media,False,2,85,2024-02
2024-02-10,Asa Sul,Buracos nas vias,Baixa,True,1,45,2024-02
2024-02-10,Jardim Botanico,Calcadas esburacadas,Alta,True,8,45,2024-02
2024-02-10,Sol Nascente,Falta de iluminacao,Alta,False,11,307,2024-02
2024-02-10,Vicente Pires,Buracos nas vias,Alta,False,6,41,2024-02
2024-02-10,Aguas Claras,Calcadas esburacadas,Media,True,5,37,2024-02
2024-02-10,Aguas Claras,Calcadas esburacadas,Alta,False,6,32,2024-02
2024-02-10,Aguas Claras,Problemas de drenagem,Baixa,True,0,92,2024-02
2024-02-11,Asa Sul,Calcadas esburacadas,Alta,True,6,32,2024-02
2024-02-11,Sao Sebastiao,Buracos nas vias,Baixa,True,1,53,2024-02
2024-02-11,Asa Norte,Falta de iluminacao,Baixa,False,2,291,2024-02
2024-02-11,Jardim Botanico,Calcadas esburacadas,Baixa,False,2,35,2024-02
2024-02-11,Asa Sul,Buracos nas vias,Alta,False,8,40,2024-02
2024-02-12,Asa Norte,Problemas de drenagem,Media,False,3,109,2024-02
2024-02-12,Sao Sebastiao,Falta de sinalizacao,Media,True,3,69,2024-02
2024-02-12,Aguas Claras,Buracos nas vias,Baixa,True,2,42,2024-02
2024-02-12,Jardim Botanico,Falta de iluminacao,Baixa,False,0,308,2024-02
2024-02-12,Aguas Claras,Buracos nas vias,Media,True,4,45,2024-02
2024-02-12,Vicente Pires,Buracos nas vias,Alta,True,6,42,2024-02
2024-02-12,Asa Norte,Buracos nas vias,Media,False,2,57,2024-02
2024-02-12,Sao Sebastiao,Buracos nas vias,Media,True,4,43,2024-02
2024-02-12,Asa Norte,Calcadas esburacadas,Media,True,3,49,2024-02
2024-02-13,Jardim Botanico,Buracos nas vias,Alta,True,11,55,2024-02
2024-02-13,Asa Sul,Falta de iluminacao,Alta,False,9,297,2024-02
2024-02-13,Aguas Claras,Buracos nas vias,Media,True,2,43,2024-02
2024-02-13,Sol Nascente,Falta de acessibilidade,Alta,False,6,88,2024-02
2024-02-13,Sol Nascente,Falta de acessibilidade,Media,True,4,76,2024-02
2024-02-13,Sao Sebastiao,Buracos nas vias,Baixa,True,0,57,2024-02
2024-02-14,Sol Nascente,Buracos nas vias,Baixa,True,0,50,2024-02
2024-02-14,Aguas Claras,Calcadas esburacadas,Baixa,True,1,37,2024-02
2024-02-14,Asa Norte,Buracos nas vias,Baixa,True,2,57,2024-02
2024-02-14,Jardim Botanico,Problemas de drenagem,Media,False,4,92,2024-02
2024-02-15,Sao Sebastiao,Buracos nas vias,Media,True,3,54,2024-02
2024-02-15,Asa Sul,Buracos nas vias,Media,False,5,59,2024-02
2024-02-15,Sol Nascente,Falta de iluminacao,Alta,False,10,290,2024-02
2024-02-15,Jardim Botanico,Calcadas esburacadas,Baixa,False,2,47,2024-02
2024-02-15,Sao Sebastiao,Falta de iluminacao,Alta,True,8,306,2024-02
2024-02-16,Asa Norte,Calcadas esburacadas,Media,True,5,43,2024-02
2024-02-16,Asa Sul,Buracos nas vias,Media,False,5,55,2024-02
2024-02-16,Vicente Pires,Problemas de drenagem,Media,False,2,95,2024-02
2024-02-16,Asa Sul,Falta de iluminacao,Alta,False,8,299,2024-02
2024-02-16,Asa Sul,Problemas de drenagem,Media,False,3,98,2024-02
2024-02-16,Jardim Botanico,Calcadas esburacadas,Media,True,3,36,2024-02
2024-02-16,Jardim Botanico,Buracos nas vias,Media,True,5,51,2024-02
2024-02-16,Sol Nascente,Buracos nas vias,Alta,True,5,52,2024-02
2024-02-16,Asa Sul,Calcadas esburacadas,Alta,True,6,34,2024-02
2024-02-16,Asa Norte,Falta de sinalizacao,Media,True,4,69,2024-02
2024-02-16,Jardim Botanico,Calcadas esburacadas,Media,True,3,48,2024-02
2024-02-17,Asa Norte,Buracos nas vias,Media,True,2,59,2024-02
2024-02-17,Vicente Pires,Falta de iluminacao,Baixa,False,2,294,2024-02
2024-02-17,Asa Sul,Problemas de drenagem,Media,False,2,103,2024-02
2024-02-17,Asa Sul,Buracos nas vias,Baixa,False,2,40,2024-02
2024-02-17,Sol Nascente,Buracos nas vias,Baixa,False,1,50,2024-02
2024-02-18,Asa Norte,Calcadas esburacadas,Alta,False,7,49,2024-02
2024-02-18,Asa Sul,Calcadas esburacadas,Alta,False,7,49,2024-02
2024-02-18,Jardim Botanico,Calcadas esburacadas,Media,True,3,45,2024-02
2024-02-18,Asa Norte,Calcadas esburacadas,Media,False,5,38,2024-02
2024-02-18,Jardim Botanico,Problemas de drenagem,Media,False,2,93,2024-02
2024-02-18,Asa Sul,Falta de acessibilidade,Media,True,3,75,2024-02
2024-02-18,Jardim Botanico,Problemas de drenagem,Media,False,4,107,2024-02
2024-02-18,Jardim Botanico,Acumulo de lixo em pracas,Media,False,4,34,2024-02
2024-02-18,Vicente Pires,Calcadas esburacadas,Alta,False,8,38,2024-02
2024-02-18,Aguas Claras,Buracos nas vias,Baixa,True,0,53,2024-02
2024-02-19,Sao Sebastiao,Buracos nas vias,Baixa,False,2,44,2024-02
2024-02-19,Asa Sul,Falta de iluminacao,Baixa,False,0,309,2024-02
2024-02-19,Sao Sebastiao,Buracos nas vias,Media,False,2,44,2024-02
2024-02-19,Asa Norte,Calcadas esburacadas,Baixa,True,2,40,2024-02
2024-02-19,Vicente Pires,Buracos nas vias,Media,True,5,48,2024-02
2024-02-20,Asa Sul,Falta de acessibilidade,Alta,False,6,75,2024-02
2024-02-20,Jardim Botanico,Buracos nas vias,Media,False,3,49,2024-02
2024-02-20,Asa Sul,Calcadas esburacadas,Alta,True,6,39,2024-02
